"","Event","Start","End"
"1","062008","2008081518","2008082318"
"2","072008","2008082512","2008090206"
"3","082008","2008082812","2008090700"
"4","092008","2008090112","2008091406"
"5","032009","2009081518","2009082406"
"6","042009","2009081612","2009081706"
"7","112009","2009110412","2009111006"
"8","012010","2010062606","2010070118"
"9","032010","2010072300","2010072315"
"10","072010","2010082518","2010090512"
"11","102010","2010090606","2010090718"
"12","092011","2011082100","2011082818"
"13","132011","2011090212","2011090500"
"14","022012","2012052518","2012053118"
"15","042012","2012062312","2012062618"
"16","092012","2012082118","2012083018"
"17","182012","2012102218","2012102918"
"18","012013","2013060518","2013060712"
"19","012014","2014070112","2014070506"
"20","012015","2015050706","2015051012"
"21","022015","2015061600","2015061700"
"22","032016","2016060518","2016060706"
"23","092016","2016083106","2016090306"
"24","112016","2016091312","2016091618"
"25","142016","2016092812","2016100906"
"26","032017","2017061918","2017062218"
"27","062017","2017073100","2017073118"
"28","092017","2017081718","2017083018"
"29","112017","2017083006","2017091200"
"30","122017","2017090512","2017092306"
"31","152017","2017091618","2017093012"
"32","162017","2017100506","2017100812"
"33","012018","2018052512","2018053112"
"34","062018","2018083006","2018091812"
"35","072018","2018090306","2018090718"
"36","142018","2018100618","2018101518"
"37","022019","2019071100","2019071606"
"38","052019","2019082406","2019090900"
"39","112019","2019091712","2019091900"
"40","142019","2019100818","2019101418"
"41","162019","2019101818","2019102100"
"42","172019","2019102512","2019102718"
"43","012020","2020051618","2020052100"
"44","022020","2020052706","2020052812"
"45","032020","2020060118","2020061206"
"46","062020","2020070512","2020071118"
"47","082020","2020072300","2020072618"
"48","092020","2020072812","2020080506"
"49","132020","2020082000","2020082906"
"50","142020","2020082018","2020082518"
"51","192020","2020091118","2020091806"
"52","202020","2020091206","2020092406"
"53","222020","2020091706","2020092506"
"54","262020","2020100418","2020101118"
"55","282020","2020102412","2020103000"
"56","292020","2020103118","2020111400"
